Horodateur,Age,Gender,"Field of study (e.g., Engineering, Medical, Finance...)","On a scale of 1 to 10, how would you rate your overall mental health? ",How often do you feel stressed?,How often do you feel anxious or worried?,"How often do you feel down, depressed, or hopeless?",Have you ever sought mental health support or counseling services during your time as a student?,"What factors, if any, contribute to stress or anxiety in your life as a student?","On a scale of 1 to 10, how would you rate your overall physical health? ","How often do you engage in physical activities (e.g., exercise, sports)?","How often do you engage in activities that you enjoy (e.g., hobbies, relaxation, entertainment)?",Do you have any existing medical conditions that you think may impact your physical health?,"On average, how many hours of sleep do you get per night?",Have you noticed any changes in your sleep patterns that may be related to your emotional state  ?,How would you describe your eating habits? Do you eat in a balanced way?,Have you observed any changes in your appetite that might be linked to your emotional state?,"How often do you partake in substance consumption, such as alcohol and tobacco?","Do you observe any physical symptoms (e.g., headaches, muscle tension) when you are stressed?",How would you rate the quality of your social relationships?,How would you assess the quality of your social relationships with your peers?,"Do you feel that you have a support system (e.g., friends, mentors) that you can turn to when you’re feeling stressed or down?",Have you encountered relational difficulties recently? Please briefly describe.,"How would you describe your relationship with your family members?
",Is your social life influenced by the dynamics within your family?,Do you feel a sense of belonging within your academic community?,"What types of social activities or clubs do you participate in, if any?",How would you rate how involvement in such groups influenced your social connections?,How do you typically cope with challenges or setbacks in your academic and personal life?,Do you feel equipped with the necessary emotional resilience skills to navigate the demands of student life?,"Are you aware of the mental health resources available at your school (e.g., counseling services, support groups)? ","If yes, have you ever used these resources?",How would you rate your academic performance?,Have you noticed a correlation between your mental health and your academic performance?,"If yes, could you briefly describe this correlation?","Based on your experiences, what recommendations do you have for improving student well-being at our institution?",Is there anything else you would like to share about your overall well-being as a student?
18/11/2023 15:51:44,21-24,Male,Telecommunication ,7,Sometimes,Sometimes,Often,No,"Studies 
Relationships
",6,Once a month,Often,No,7 to 9 hours,Yes,No,No,Occasionally,Yes,8,There are some issues,No,,Very good,Yes,Yes,Clubs within the university,Good,Good way,Unsure,Yes,No,3,Yes,When i feel stressed or down I can't get anything done ,,
18/11/2023 16:02:03,18-20,Female,Engineering ,4,Sometimes,Sometimes,Sometimes,No,,4,Not at all,Occasionally,No,7 to 9 hours,Yes,No,Yes,Never,Yes,3,Single,Yes,,Very good,Yes,Yes,School clubs ,Normal,Normal,Unsure,No,No,2,Yes,,,
18/11/2023 16:02:24,21-24,Male,Engineering ,3,Rarely,Rarely,Rarely,No,"Financial problems,  transportation, studying ",7,Between once and 3 times per week,Sometimes,No,7 to 9 hours,No,No,No,Never,Yes,7,Single,Yes,,Good,No,No,"Robotic club , football",Good,Good way,Yes,Yes,No,4,Yes,,Consistency is the key to every thing ,Try to enjoy every moment of your life
18/11/2023 16:12:16,18-20,Female,Engineering,6,Often,Often,Sometimes,Yes,Failure ,9,Not at all,Occasionally,No,7 to 9 hours,No,No,No,Never,Yes,6,Everything is going well,Yes,No,Very good,No,Yes,Nothing,Normal,Normal,Yes,No,No,3,Yes,"For example if i'm stressed, i can't focus on my studies",Let them contact a specialist ,
18/11/2023 16:14:09,21-24,Male,Engineering ,6,Sometimes,Sometimes,Rarely,No,,8,Between once and 3 times per week,Often,No,7 to 9 hours,No,Yes,Yes,Often,Yes,8,There are some issues,No,,Good,No,Yes,Clubs related to engineering ,Good,Bad way,Unsure,Yes,No,3,Yes,,,
18/11/2023 16:21:56,21-24,Female,Electrical engineering,3,Always,Often,Sometimes,No,Srudies,8,Between once and 3 times per week,Sometimes,Yes,7 to 9 hours,Yes,No,Yes,Sometimes,Yes,9,There are some issues,Yes,,Normal,Yes,Yes,IEEE,Good,Good way,Unsure,Yes,No,3,Yes,,,
18/11/2023 16:24:45,21-24,Female,Engineering ,5,Sometimes,Always,Sometimes,Yes,Exams ,8,Not at all,Often,No,7 to 9 hours,Yes,No,Yes,Never,Yes,7,Everything is going well,Yes,No,Good,No,Yes,Member of two clubs,Good,Normal,Unsure,No,No,3,No,,,
18/11/2023 16:33:26,21-24,Male,engeineering,8,Rarely,Sometimes,Sometimes,No,,6,Between once and 3 times per week,Occasionally,No,7 to 9 hours,Yes,Yes,Yes,Never,No,8,Everything is going well,Yes,,Very good,Yes,Yes,scientific clubs,Normal,Good way,Yes,Yes,No,4,Yes,"In one hand when i feel drained from relationships or when i'm going through a stressful sitiuation, my academic perforamnce could take a slight hit .In the other hand , somtimes i manage to convert the stressful situation to a motive that helps me persist and study better.","I think we need to teach students how to cope with stress.
We should incorporate essential sotial activities and interactions.",
18/11/2023 16:34:11,21-24,Male,Engineering,5,Sometimes,Often,Rarely,No,"Mandatory attendance, it makes it harder to work on myself",8,Between once and 3 times per week,Often,Yes,7 to 9 hours,Yes,Yes,Yes,Occasionally,No,6,There are some issues,Yes,"Very negative and demotivating roommate, it doesn't affect me though",Normal,No,No,Technical,Normal,Good way,Yes,No,No,2,Yes,"Mandatory attendence makes it very hard to focus on myself, and to self-learn like I usually do",Stop mandatory attendece,No
18/11/2023 16:34:47,21-24,Male,Dentistry,8,Rarely,Rarely,Rarely,No,Maybe exams ,9,Between once and 3 times per week,Always,No,7 to 9 hours,No,No,No,Never,No,9,Everything is going well,Yes,I don't remember,Very good,No,Yes,An Association that concernes dental students,Good,Good way,Yes,Yes,No,4,No,,,
18/11/2023 16:38:07,21-24,Female,Medical,8,Sometimes,Sometimes,Often,No,Exams,8,Once a month,Often,No,7 to 9 hours,Yes,No,Yes,Never,Yes,7,There are some issues,Yes,,Very good,Yes,Yes,"Organizing a congress, volunteering",Good,Normal,Yes,Yes,No,4,Yes,,,
18/11/2023 16:39:58,21-24,Female,Engineering ,3,Always,Often,Sometimes,No,"Exams grades , studies accumulation transport...",5,Not at all,Sometimes,Yes,4 to 6 hours,Yes,Yes,Yes,Never,Yes,6,There are some issues,Yes, ,Good,Yes,Yes, ,Normal,Normal,Yes,Yes,No,3,Yes, , , 
18/11/2023 16:41:38,18-20,Female,Engineering,7,Often,Sometimes,Sometimes,Yes,Studies and perfectionism ,8,Once a month,Often,No,4 to 6 hours,Yes,No,No,Never,Yes,8,There are some issues,Yes,Fake people everywhere ,Normal,Yes,Yes,Im a prt of 2 clubs in my school,Good,Normal,Unsure,No,No,3,Yes,When i have 0 energy or when i have bad conflicts with my family i dont study at all ,We need to be more educated about it from a young age ,"I feel kind of not like my self these past day , but im starting to feel better by each day cuz the transition between preparatory studies and engineering is kinda confusing"
18/11/2023 16:42:25,21-24,Male,Engineering ,6,Often,Often,Often,Yes,Studies and other commitments,6,Not at all,Sometimes,No,7 to 9 hours,Yes,Yes,Yes,Never,Yes,8,There are some issues,Yes,,Normal,No,Yes,NGO,Very good,Good way,Unsure,Yes,No,2,Yes,My shitty mental health is going against the tide with my academic performance ,Organize events to make people aware of the possible catastrophic mental health if not taken seriously ,
18/11/2023 16:46:44,21-24,Female,Engineering,6,Often,Sometimes,Often,No,The obligatory presence in class ,3,Between once and 3 times per week,Occasionally,No,4 to 6 hours,No,No,No,Never,Yes,6,Everything is going well,Yes,no,Normal,No,Yes,tech club,Good,Normal,Unsure,Yes,No,4,Yes,,,
18/11/2023 16:47:57,21-24,Male,Engineering ,7,Sometimes,Sometimes,Sometimes,No,My future career ,7,Between once and 3 times per week,Sometimes,No,4 to 6 hours,No,Yes,Yes,Sometimes,Yes,6,There are some issues,No,No,Good,No,No,Tech,Normal,Normal,Yes,Yes,No,4,Yes,"Whenever I'm happy, I become a highly-performing individual ",Making sure that the professors are up to par,
18/11/2023 16:49:32,25-29,Female,"Agriculture engineering, genetics and biotechnology ",8,Sometimes,Sometimes,Sometimes,No,Public presentation / exam prep,6,Not at all,Often,No,4 to 6 hours,No,No,Yes,Sometimes,Yes,8,Everything is going well,Yes,,Very good,No,Yes,I used to be a member then a manager in my school's junior entreprise association,Good,Normal,Yes,No,No,4,Yes,,"Communication, talk about it, try to get a support system, don't be afraid everyone is going through it so talking about it is important",
18/11/2023 16:59:16,21-24,Male,Engineering,8,Sometimes,Sometimes,Never,No,Prepa,6,Once a month,Sometimes,No,7 to 9 hours,No,No,No,Never,Yes,9,Everything is going well,Yes,,Good,Yes,No,Any,Normal,Good way,Yes,Yes,No,5,No,,,
18/11/2023 17:04:33,18-20,Male,Engineering ,4,Often,Always,Sometimes,No,,7,Once a month,Sometimes,No,7 to 9 hours,No,No,Yes,Never,Yes,7,There are some issues,No,,Good,No,Yes,Clubs,Very good,Normal,Unsure,No,No,2,No,,,
18/11/2023 17:06:03,21-24,Female,Communication multimédia ,5,Often,Sometimes,Often,No,The huge amount of projects,4,Once a month,Sometimes,No,7 to 9 hours,Yes,No,Yes,Never,Yes,8,Single,Yes,No ,Good,No,Yes,"It,design social events ",Very good,Normal,Unsure,No,No,4,Yes,,"Tha quality of professors, they should be understanding and especially they should be qualified. The programs should be more specific and oriented so that the student can feel himself advancing in an oriented way...",
18/11/2023 17:07:13,21-24,Male,FinTech Engineering,7,Sometimes,Sometimes,Rarely,No,,6,Not at all,Often,No,7 to 9 hours,No,No,No,Occasionally,No,5,There are some issues,Yes,,Very good,No,No,.,Normal,Normal,Yes,Yes,No,4,Yes,,,
18/11/2023 17:12:48,21-24,Male,Engineering ,5,Often,Often,Often,No,Not achieving what i want and seeing others doing better than me ,7,Once a month,Sometimes,Yes,4 to 6 hours,Yes,No,Yes,Never,Yes,6,There are some issues,Yes,No,Good,Yes,No,"Robotics club ""fablab""",Normal,Normal,Unsure,No,No,3,No,,Reduce studying hours,No
18/11/2023 17:16:34,21-24,Female,Engineering ,3,Always,Always,Always,No,Projects/ social life / jugements ,5,Not at all,Never,No,7 to 9 hours,Yes,No,Yes,Never,Yes,3,Single,Yes,,Very good,Yes,Yes,University club,Good,Normal,Unsure,No,No,2,Yes,,,
18/11/2023 17:24:33,21-24,Female,Medical,8,Often,Sometimes,Rarely,No,"The life far away from the family, financial and chores management, ammount of studies and homework...",7,Once a month,Sometimes,No,7 to 9 hours,No,No,No,Never,Yes,7,There are some issues,Yes,,Good,Yes,Yes,Associations in the university,Good,Good way,Unsure,No,No,4,No,,Take everything easy and be well organised ,
18/11/2023 17:25:36,18-20,Male,Engineering ,8,Often,Sometimes,Sometimes,No,"BFRB, or OCDs like nail biting",7,Between once and 3 times per week,Always,No,4 to 6 hours,Yes,Yes,No,Never,No,7,There are some issues,Yes,,Very good,No,Yes,Clubs in my uni like IEEE ENIT Student Branch and GDSC,Good,Good way,Yes,Yes,No,5,No,,,
18/11/2023 17:26:03,18-20,Female,Engineering ,7,Sometimes,Rarely,Sometimes,No,"Exams or projects (when the quantity is huge), the  fact that you'll have to study the entire subject on your own because the teacher is not that good. In that case, you'll minimize the time of entertainment and for that period of time, you'll be able to face some sort of stress, anxiousness or worry speciality when you're not confident enough that you'll do well in this particular self study or the subject is so hard and it's taking from you all the time dedicated to entertainment. ",5,Once a month,Always,No,7 to 9 hours,Yes,Yes,Yes,Never,Yes,8,Everything is going well,Yes,I guess not. ,Very good,Yes,Yes,I'm taking part of gdsc( Google club student branch) and a junior entreprise. These clubs (as well as their activities) are kind of related to my studies. Also I'm having langage courses in a Korean institue (I am learning Korean) and participating in their cultural events because that's the definition of fun to me I guess. ,Good,Normal,Unsure,No,No,3,Yes,,"Providing students more free time to do what they really enjoy in this life, providing various extra-curricular activities within the institution, providing a professional mental health support for the student in the institution, providing a safe place for the student to express his emotions, problems and worries especially for students that don't have a close circle of friends. ",
18/11/2023 17:30:06,18-20,Female,Business,5,Sometimes,Often,Rarely,No,Grades and i feel stressed about not passing the academic year ,8,Not at all,Always,No,7 to 9 hours,Yes,No,Yes,Occasionally,Yes,6,Everything is going well,Yes,Misunderstanding and gossips between me and my close friends that led to us in conflicts,Good,Yes,Yes,I don’t ,Normal,Normal,Unsure,No,No,3,No,,We can start school at 10am i think it’s a nice idea because specially in winter it’s different to wake up early ,"I feel so overwhelmed of the professors actions with us students , they actually don’t really care about our mental health "
18/11/2023 17:38:21,21-24,Female,Dental student,7,Sometimes,Rarely,Rarely,No,"Exams , period of révision, heavy courses , heavy days when WE have Many things to do not just studies but social life and contribution in associations so responsabilities affect aksi out psychologue ",8,Between once and 3 times per week,Occasionally,No,4 to 6 hours,Yes,No,Yes,Never,Yes,7,Everything is going well,Yes,Sometimes there are some issues but not Always in conclution it 's normal ,Good,Yes,Yes,Tads association clubs of health clubs of humanity ..,Normal,Normal,Yes,Yes,No,3,No,,Every studette must provide himself a Time for himself juste for entertaining or juste for recharging himself and his energy ,Music IS a good Idea for changing life 
18/11/2023 17:45:10,21-24,Female,Engineering ,7,Often,Always,Often,No,A lot,4,Not at all,Never,Yes,7 to 9 hours,Yes,No,Yes,Always,Yes,5,Single,No,,Bad,Yes,No,I dont,Normal,Bad way,No,No,No,2,Yes,,,
18/11/2023 17:50:05,21-24,Female,engineering ,8,Always,Sometimes,Rarely,Yes,exams/presentations,8,Once a month,Often,No,7 to 9 hours,Yes,No,Yes,Never,Yes,9,Everything is going well,Yes,,Very good,No,Yes,i participate in many clubs ,Good,Normal,Yes,Yes,No,4,Yes,,,
18/11/2023 17:51:17,21-24,Female,Environmental Sciences,7,Sometimes,Sometimes,Sometimes,No,"Exams, busy studying schedule, not being able to workout or dedicate time for hobbies..",8,Every day,Occasionally,No,4 to 6 hours,Yes,Yes,Yes,Never,Yes,5,There are some issues,Yes,Nope,Very good,No,No,"Climate justice, art and education",Good,Normal,Unsure,No,No,3,Yes,"When i'm mentally stable, less anxious, it's easier for me to concentrate (to study) and even do better on exams.. When i'm anxious and overwhelmed, i find it hard to even revise (i procrastinate)","Less studying hours (less subjects), a library, maybe a counsellor ?, a gym nearby (haha), healthier food in the restaurant..","It's safe to say that I'm currently doing very well mentally, even with the current circumstances (what's happening in Palestine) which would've shattered me a year ago. I believe it took a lot of effort to achieve this mental stability, regular exercise and a healthy diet play significant roles. Additionally, self-reflection and life experiences have been crucial. (I believe that Self-reflection demands a specific environment : friends, time, and solitude... which aren't always available in an academic year.) I had to take a gap year to figure everything out, and it helped a lot!"
18/11/2023 17:56:07,21-24,Male,medical,8,Often,Rarely,Rarely,No,,6,Between once and 3 times per week,Sometimes,No,4 to 6 hours,No,No,Yes,Always,No,5,There are some issues,Yes,,Good,No,No,none,Normal,Normal,Yes,Yes,No,4,No,,,
18/11/2023 18:03:04,21-24,Male,engineering,8,Sometimes,Sometimes,Sometimes,No,le régime d'étude,7,Between once and 3 times per week,Occasionally,No,7 to 9 hours,No,No,Yes,Never,Yes,5,Single,No,,Good,Yes,No,no social activities,Normal,Normal,Unsure,No,No,3,No,,,
18/11/2023 18:03:53,18-20,Female,Law,1,Often,Always,Always,No,politics ,3,Not at all,Always,No,4 to 6 hours,Yes,No,Yes,Never,Yes,6,Continuous conflicts,Yes,I don't want to socialize anymore,Very good,Yes,No,None,Bad,Bad way,No,Yes,Yes,4,No,,Talking with friends ,
18/11/2023 18:07:46,21-24,Male,Engineering,8,Sometimes,Sometimes,Rarely,No,Studying useless subjects,6,Between once and 3 times per week,Always,No,7 to 9 hours,No,No,No,Never,No,5,Everything is going well,No,None,Very good,Yes,Yes,Sport,Normal,Good way,Yes,Yes,No,4,No,,,
18/11/2023 18:12:09,21-24,Male,Engineering,8,Rarely,Rarely,Rarely,No,,8,Between once and 3 times per week,Always,No,7 to 9 hours,Yes,Yes,Yes,Never,No,8,Everything is going well,No,,Good,Yes,Yes,gym,Normal,Normal,Yes,No,No,4,Yes,,,
18/11/2023 18:13:05,21-24,Female,Engineering ,7,Sometimes,Sometimes,Rarely,No,,7,Once a month,Often,No,4 to 6 hours,No,Yes,Yes,Never,Yes,8,Single,Yes,,Very good,Yes,Yes,Clubs in university ,Good,Good way,Unsure,Yes,No,3,Yes,,,
18/11/2023 18:13:11,18-20,Female,Engineering ,4,Often,Always,Often,Yes,Concurrence ,6,Every day,Sometimes,Yes,4 to 6 hours,Yes,Yes,Yes,Never,Yes,2,There are some issues,No,No,Very good,No,No,Technical ones,Good,Bad way,Unsure,Yes,Yes,3,Yes,I can never focus or memorise information when i'm feeling down,Professors should ask if anything is wrong with their students when they get bad grades instead of victimising themselves and getting angry.,
18/11/2023 18:16:07,21-24,Female,Engineering,9,Sometimes,Sometimes,Rarely,No,"Exams,balancing between work,clubs and personal life",9,Once a month,Sometimes,No,7 to 9 hours,No,Yes,Yes,Never,Yes,7,Everything is going well,No,No,Very good,No,Yes,"IEEE,enactus",Good,Good way,Yes,Yes,No,4,No,,"-definetly including physical activities as a part of the curriculum as sports have tremendous impact on our mental health
- organize presentations in which you call in mental health experts to guide students on how to deal with college life and habits to manage their excessive stress","For me my family plays a big role in my well being as a student so I encourage everyone to talk their problems with their siblings or parents even when they're far away
We will face many difficulties in our relationships as students  but no matter what you must try to keep your cool,assess problem and then  act accordingly and never let anyone hamper your well being or your focus in your studies"
18/11/2023 18:16:08,21-24,Male,Medical ,3,Always,Often,Often,Yes,The unbearable amount of courses ,6,Not at all,Often,Yes,10 to 12 hours,Yes,No,Yes,Always,No,7,There are some issues,Yes,Me and my friends fight alot recently,Good,Yes,No,none,Bad,Bad way,Unsure,Yes,No,3,Yes,endless loop of not studying because my mental health doesnt allow me to and feeling even worse/more stressed because i'm not studying,Introduce more group activites and lessen the amount of courses,"I think it goes for everyone on november when i say that i'm not doing well, both mentally and academically"
18/11/2023 18:27:24,21-24,Female,Engineering ,5,Often,Sometimes,Sometimes,Yes,,6,Once a month,Often,Yes,4 to 6 hours,Yes,Yes,Yes,Often,Yes,8,Everything is going well,Yes,,Very good,No,Yes,Music club,Normal,Bad way,No,No,No,4,No,,,
18/11/2023 18:50:51,21-24,Female,Engineering ,5,Sometimes,Sometimes,Sometimes,Yes,,5,Not at all,Occasionally,No,7 to 9 hours,Yes,Yes,Yes,Often,Yes,8,Everything is going well,Yes,,Good,No,Yes,Activities within the clubs related to my field of study(electrical engineering),Very good,Good way,Yes,Yes,Yes,3,Yes,,,
18/11/2023 18:51:12,21-24,Female,Engineering ,7,Sometimes,Sometimes,Rarely,No,Just during exams,6,Not at all,Often,No,4 to 6 hours,Yes,Yes,No,Never,No,8,Everything is going well,Yes,,Very good,Yes,Yes,One of my University club,Good,Good way,Yes,No,No,3,Yes,,,
18/11/2023 18:51:52,21-24,Female,Medical,7,Often,Often,Rarely,No,,8,Not at all,Occasionally,No,4 to 6 hours,Yes,No,Yes,Never,No,9,Single,Yes,,Good,No,Yes,Scout,Very good,Good way,Yes,Yes,No,3,No,,,
18/11/2023 19:00:28,18-20,Female,Finance,4,Always,Often,Sometimes,Yes,"Deadlines, assignments, exams, internships ",7,Every day,Sometimes,No,4 to 6 hours,Yes,Yes,No,Never,Yes,6,There are some issues,Yes,,Very good,Yes,No,"Hackathons, workshops, camps",Good,Normal,Yes,Yes,No,3,Yes,,Spreading awareness about its significance by organizing events ,
18/11/2023 19:05:12,21-24,Male,Engineeering,8,Sometimes,Rarely,Rarely,No,Exams i guess,8,Once a month,Sometimes,Yes,4 to 6 hours,No,Yes,No,Never,No,6,Single,Yes,No,Very good,Yes,Yes,Mainly clubs within the university,Good,Good way,Yes,Yes,No,5,Yes,Performance significally drops when stressed,Eyeryone should look inward and try to better themselves,No
18/11/2023 19:07:11,21-24,Female,Medical ,4,Often,Often,Sometimes,Yes,"Full study Time table
",4,Once a month,Sometimes,Yes,7 to 9 hours,Yes,No,Yes,Never,Yes,6,There are some issues,No,,Good,No,Yes,Associa med ,Good,Normal,Unsure,Yes,No,3,No,,,
18/11/2023 19:18:25,21-24,Male,Engineering,7,Sometimes,Rarely,Rarely,No,The national exam last year and the time i was waiting for the results and espacially when it comes to relations between my close class mates overall if it is not well it really make me stressed,7,Not at all,Sometimes,No,7 to 9 hours,No,Yes,Yes,Never,No,8,There are some issues,Yes,Yy i had a conflit my female closeest friend last year the night before the physics narional exam and that was the last talk since then that was terrible,Normal,No,Yes,Soft skills and computer science clubs,Good,Good way,Yes,No,No,4,Yes,,,My well being is related to my relations with my friends when i have a really trsut worth friend i dont need a psy because he is my psy
18/11/2023 19:19:16,18-20,Female,technical ,5,Always,Often,Sometimes,No,,4,Not at all,Occasionally,Yes,4 to 6 hours,No,No,No,Sometimes,Yes,5,Single,Yes,,Bad,No,No,any,Normal,Normal,Unsure,Yes,Yes,3,No,no,i dont know dhat i shoud to say,no
18/11/2023 19:22:03,21-24,Female,Medical,7,Often,Often,Often,No,Exams,5,Once a month,Occasionally,Yes,7 to 9 hours,No,No,No,Never,Yes,8,Everything is going well,Yes,,Good,Yes,Yes,Ones within my university,Normal,Normal,Yes,Yes,No,4,Yes,I get emotionally distressed when im under academic stress.,Better mental health care facilities that can be easily accessible to students. Also encouraging students to have check ups because most of us are scared to do that first step.,
18/11/2023 19:27:38,21-24,Male,Engineering,6,Sometimes,Often,Sometimes,No,Engin-nearing my limits,6,Once a month,Occasionally,No,4 to 6 hours,No,No,No,Always,No,7,Everything is going well,No,No not really,Very good,Yes,Yes,Pingpong/data science/competitive programming,Very good,Normal,Unsure,No,No,3,No,,Less strict absence laws and flexibility in the corruculm,
18/11/2023 19:28:35,21-24,Female,Business ,7,Sometimes,Sometimes,Sometimes,Yes,,6,Not at all,Often,No,7 to 9 hours,No,Yes,Yes,Never,Yes,8,Everything is going well,Yes,,Very good,No,Yes,3ZERO TBS Hult Prize TBS Timun TBS,Very good,Good way,Yes,No,No,3,No,,,
18/11/2023 19:35:43,21-24,Female,Engineering ,8,Always,Always,Sometimes,No,"Life management ,social problèmes, exams, ",7,Not at all,Never,No,4 to 6 hours,Yes,No,No,Never,Yes,5,There are some issues,Yes,I was disagree with my binôme about a workteam in out study.,Good,No,Yes,"Informatique club,social club :engineering clubs",Normal,Normal,No,No,No,4,Yes,"With a good mental health you have 80%as average of success in your academic performance.
NB:it dépends on your high school,","Physical activities are primordial
Clubs for social life of student
 High qualifiés Psycological doctors in universities are very important especially in preparator institutions for engineering,medicine ..","It must bé question of first returned to university first given finance help(bourse) .
The country must give spécial prices for students for renting housses to study especially when you have exceeded the number  of years to  have university hébergement."
18/11/2023 19:39:39,21-24,Male,Engineering ,8,Often,Rarely,Rarely,No,Being tired physically/ controversial situations,7,Between once and 3 times per week,Occasionally,No,4 to 6 hours,No,Yes,No,Never,Yes,7,Everything is going well,Yes,,Good,No,No,Competitions and workshops (technical),Normal,Very Good way,Yes,Yes,No,5,Yes,Whenever I feel down I don't feel like studying but if I suck it up and do what I have on my to do list I feel better and pride and then I have a clearer vision of the circulstances that caused my blue mood and I quickly overcome it,Have some time alone maybe even a LOT if you don't have someone to talk to,Just grow up it's not rocket science unless you are diagnosed as mentally sick you can overcome it... patience and resilience ... problems don't just fade away.
18/11/2023 19:40:41,21-24,Female,Medical,7,Sometimes,Sometimes,Sometimes,No,Exams..,7,Between once and 3 times per week,Occasionally,Yes,7 to 9 hours,Yes,Yes,No,Never,Yes,5,There are some issues,No,,Good,Yes,Yes,No social activities,Good,Normal,Yes,Yes,No,3,Yes,,Less pressure ,
18/11/2023 19:44:35,21-24,Female,Medical,6,Often,Often,Always,Yes,Studies,8,Not at all,Occasionally,No,7 to 9 hours,No,No,Yes,Never,Yes,3,Everything is going well,Yes,,Normal,No,Yes,No,Normal,Bad way,Unsure,Yes,Yes,4,Yes,,,
18/11/2023 19:45:43,18-20,Female,Medical,4,Often,Often,Sometimes,Yes,"Amount of work to do. 
Transportation.
Balancing study and social life.",7,Once a month,Occasionally,No,7 to 9 hours,Yes,No,Yes,Never,Yes,4,Everything is going well,No,,Very good,No,Yes,Associamed,Good,Good way,Unsure,Yes,No,2,Yes,"I have been procrastinating non stop especially during the exam season. I spend the whole day before the exam scrolling through my phone until late in the evening. Then, I cram throughout the night.
Thankful I had good results.",,
18/11/2023 19:46:42,21-24,Female,Gestion de technologie de l'information et communication ,7,Sometimes,Sometimes,Rarely,Yes,,5,Not at all,Sometimes,No,7 to 9 hours,No,No,Yes,Never,No,8,Single,Yes,,Very good,Yes,No,Scout,Good,Normal,Yes,No,No,3,No,,,
18/11/2023 19:47:14,21-24,Male,Computer Science,7,Sometimes,Sometimes,Sometimes,No,Exams contribute a little but mainly the process of finding an internship is the most stressful part.,6,Not at all,Often,Yes,10 to 12 hours,Yes,Yes,No,Never,Yes,7,Single,Yes,,Good,No,Yes,.,Good,Normal,Yes,Yes,No,3,No,,,
18/11/2023 19:51:21,18-20,Male,Electrical Engineering ,4,Never,Rarely,Often,No,Studies ,8,Between once and 3 times per week,Occasionally,No,7 to 9 hours,Yes,No,Yes,Never,Yes,3,Everything is going well,No,No,Good,No,Yes,Ieee basketball team aerospace ,Good,Bad way,Unsure,Yes,No,1,Yes,Procrastinating a lot and seeking instant gratification ,Integration week every month ,Care more about mental health
