Horodateur,Age,Gender,"Field of study (e.g., Engineering, Medical, Finance...)","On a scale of 1 to 10, how would you rate your overall mental health? ",How often do you feel stressed?,How often do you feel anxious or worried?,"How often do you feel down, depressed, or hopeless?",Have you ever sought mental health support or counseling services during your time as a student?,"What factors, if any, contribute to stress or anxiety in your life as a student?","On a scale of 1 to 10, how would you rate your overall physical health? ","How often do you engage in physical activities (e.g., exercise, sports)?","How often do you engage in activities that you enjoy (e.g., hobbies, relaxation, entertainment)?",Do you have any existing medical conditions that you think may impact your physical health?,"On average, how many hours of sleep do you get per night?",Have you noticed any changes in your sleep patterns that may be related to your emotional state  ?,How would you describe your eating habits? Do you eat in a balanced way?,Have you observed any changes in your appetite that might be linked to your emotional state?,"How often do you partake in substance consumption, such as alcohol and tobacco?","Do you observe any physical symptoms (e.g., headaches, muscle tension) when you are stressed?",How would you rate the quality of your social relationships?,How would you assess the quality of your social relationships with your peers?,"Do you feel that you have a support system (e.g., friends, mentors) that you can turn to when you‚Äôre feeling stressed or down?",Have you encountered relational difficulties recently? Please briefly describe.,"How would you describe your relationship with your family members?
18/11/2023 19:51:47,21-24,Female,Engineering ,8,Sometimes,Sometimes,Sometimes,Yes,"Exams, school results and being always away from my family. ",10,Every day,Always,No,4 to 6 hours,No,Yes,No,Never,No,9,Everything is going well,Yes,"No, my new mates in ENIT are so nice and I enjoy studying with them every day ☺️",Very good,Yes,Yes,Computer science clubs,Good,Normal,Yes,No,No,4,Yes,When i am less stressed I can enjoy learning and focus better but when I am anxious It makes my brain less productive and more scattered. ,"The clubs are already doing great job when it comes to lowering the stress level, I think the only improvement they can make os by remaining who they already are and keep engaging more students in their communities. ","I went through really dark times before getting here. I went to a pioneer school with an extremely high level of stress and concurrence and then I found myself in the most challenging pre-engineering institution, I had to learn so many things the hard way. But as I got here, I believe everyone should never lose faith on themselves. Remain close  to God. The beauty of the journey is not in its ease but is rather hidden in the obstacles that you've overcome. You were born for a reason and you'll figure it out sooner or later, as long as you're trying 💗"
18/11/2023 19:52:01,21-24,Female,Engineering ,5,Often,Often,Sometimes,No,"Academics, public transportation",7,Not at all,Occasionally,No,4 to 6 hours,No,No,Yes,Often,Yes,6,Everything is going well,Yes,,Normal,Yes,Yes,Robotics,Good,Normal,Yes,No,No,3,Yes,Motivation to study decreases when mental health is bad,There should be more mental health awareness and professional help available and accessible,
18/11/2023 19:52:17,21-24,Male,Engineering ,3,Always,Always,Always,No,"Educational system,  transport, the permanent desire to be perfect ,loneliness,  routine,  sudden changes in my life, family fights,  bad environment. ",8,Once a month,Occasionally,No,7 to 9 hours,No,Yes,No,Never,Yes,3,Everything is going well,Yes,"Yeah , I always don't how to introduce myself correctly to new people I always miss things up ",Normal,No,No,2 clubs for computer science stuff and a club for sports,Normal,Normal,Unsure,No,Yes,1,No,,,
18/11/2023 19:53:37,18-20,Female,High school,3,Always,Always,Often,Yes,"Study, home and social life",8,Between once and 3 times per week,Occasionally,No,7 to 9 hours,Yes,No,Yes,Occasionally,Yes,5,Single,No,Yes such as if i cared about someone i go way out of the limits that the pesons have earlier putted them between us,Good,Yes,Yes,I don't participate in any,Bad,Normal,Unsure,No,No,4,Yes,If i get depressed it affects my study routine ...,I reccomand doing psychology sessions for the students,I used to love studying now i kinda hate school and some subject that i need to study them it's kinda like you're working at something that you hate or despite
18/11/2023 19:54:23,21-24,Female,Engineering ,3,Sometimes,Sometimes,Sometimes,Yes,Too much hours of studying ,5,Not at all,Never,No,7 to 9 hours,No,Yes,No,Sometimes,No,5,Single,No,Yes,Normal,No,No,Not,Normal,Normal,Unsure,Yes,No,3,No,,,
18/11/2023 19:55:16,21-24,Male,engineering,8,Rarely,Never,Never,Yes,exams and better achievement ? ,4,Once a month,Sometimes,No,4 to 6 hours,No,No,No,Often,No,8,Everything is going well,No,i didn't have ,Good,No,No,Lions club tunis golf ,Normal,Good way,Yes,Yes,No,4,Yes,there is a proportion between them,read books and play sports with the community that's it ,eat healthy not all the time but it does help 
18/11/2023 20:12:48,21-24,Female,Business intelligence (IT),6,Sometimes,Sometimes,Rarely,No,The huge mount of information i am asked to memorize especially in  the exams period and also not studying the feild i really like ,6,Not at all,Occasionally,No,4 to 6 hours,Yes,Yes,Yes,Never,Yes,7,Everything is going well,Yes,No,Normal,No,No,I was a member in AIESEC,Bad,Normal,Unsure,No,No,2,Yes,I think not accepting that i am studying something that i really like affects my mental health and my academic performance soo much ,,
18/11/2023 20:18:51,21-24,Female,Medicine ,6,Often,Often,Often,No,Exams rotations ,7,Not at all,Sometimes,Yes,7 to 9 hours,Yes,Yes,Yes,Never,Yes,7,There are some issues,Yes,,Good,Yes,Yes,I don't ,Normal,Normal,Unsure,No,No,3,No,,Less pressure ,
18/11/2023 20:19:28,21-24,Female,Engineering ,7,Rarely,Sometimes,Rarely,No,Exams ,5,Not at all,Sometimes,Yes,7 to 9 hours,Yes,No,Yes,Sometimes,Yes,7,Everything is going well,Yes,,Good,No,Yes,Actif membre ,Normal,Good way,Unsure,Yes,No,4,Yes,,,
18/11/2023 20:25:52,18-20,Female,High school ,6,Sometimes,Sometimes,Often,Yes,"The fact that you will be more responsible of your acts and specifically your life , all that you are doing is for your sake and your future not as we used to when we were kids because we were just thinking that we are putting all this effort for our parents to make them proud but now is different now you have to make more money be successful and take the right decisions personally I was excited before but now it is not a exhilarating thing to do it will stick with you forever adding to that the pressure that the professors provide not only because of the amount of work they give but also the way they teach like we know everything and the fact that they will be disappointed in you make your willpower disappear and not mentioning the toxic environment that you will be surrounded by and let's not talk about the system education..",6,Once a month,Occasionally,No,7 to 9 hours,Yes,No,Yes,Never,Yes,2,Single,No,None,Good,No,No,None,Bad,Bad way,Unsure,Yes,No,3,Yes,I don't go to school when I feel stressed and I usually don't have any social energy to make conversation even to say hi,Be sociable and don't take everything personally ,None
18/11/2023 20:29:08,21-24,Female,Engineering ,7,Often,Sometimes,Often,No,,9,Not at all,Occasionally,No,7 to 9 hours,No,No,Yes,Never,Yes,8,Everything is going well,Yes,,Good,Yes,Yes,Ieee,Normal,Good way,Yes,Yes,No,4,Yes,,,
18/11/2023 20:53:32,18-20,Female,Computer science ,9,Sometimes,Never,Never,No,Many exams,9,Not at all,Sometimes,No,7 to 9 hours,Yes,No,No,Never,Yes,10,Everything is going well,Yes,,Very good,No,Yes,Any,Normal,Normal,No,Yes,No,3,No,,,
18/11/2023 20:56:00,21-24,Male,Engineering ,3,Always,Often,Always,No,"Overload of academic subjects
Excessive study hours
Absence of cultural, sports, and Entertainment activities
old-fashioned and overcrowded curriculum 
Inadequate rest hours",6,Once a month,Occasionally,No,4 to 6 hours,Yes,No,Yes,Never,Yes,4,There are some issues,No,I can't ,Normal,Yes,No,None,Normal,Normal,Unsure,No,No,2,Yes,,Just enhace the education system and the education conditions ,Nah
18/11/2023 20:56:09,21-24,Male,computer science,6,Sometimes,Sometimes,Sometimes,No,,6,Between once and 3 times per week,Occasionally,Yes,4 to 6 hours,No,No,No,Never,No,4,Everything is going well,No,,Good,No,Yes,"no, i don't",Normal,Normal,Unsure,No,No,3,Yes,,,
18/11/2023 20:58:52,21-24,Male,Engineering ,7,Often,Always,Sometimes,No,"Public transport, dumb people, illogical behavior of people around me, everything ",5,Not at all,Sometimes,Yes,7 to 9 hours,Yes,Yes,Yes,Never,Yes,8,There are some issues,Yes,,Very good,Yes,No,Clubs. ,Good,Good way,Yes,No,No,4,Yes,Surely skipping classes and go home is my coping mechanism ,"It's much bigger than an institution's actions and decisions, student well-being reflects everything that's going on within our country and everything that's happening in the world right now and the amount of overwhelming disturbances and obstacles. ",
18/11/2023 20:59:31,21-24,Female,Mechanical engineering ,7,Sometimes,Sometimes,Sometimes,Yes,Studying ,9,Between once and 3 times per week,Sometimes,No,4 to 6 hours,Yes,No,No,Never,No,8,Everything is going well,No,No,Very good,No,No,Dance club,Good,Normal,Unsure,No,No,3,No,,,
18/11/2023 21:05:31,21-24,Female,Engineering ,3,Often,Often,Often,No,Long study hours ,8,Not at all,Occasionally,No,4 to 6 hours,Yes,No,Yes,Never,Yes,4,Single,No,No,Good,Yes,Yes,Clubs related to college ,Normal,Normal,Yes,Yes,No,3,Yes,. ,Do more assembl,
18/11/2023 21:07:44,21-24,Male,Engineering,5,Always,Often,Always,No,homeworks/a lot of tests/different subjects,5,Once a month,Occasionally,No,4 to 6 hours,No,No,Yes,Never,Yes,2,There are some issues,No,stress in exams affecting friendship,Normal,Yes,No,none,Normal,Normal,No,No,No,3,Yes,getting demotivated when stressed,focusing on learning rather than exams,educational system puts tonns of stress and useless hardwork on students
18/11/2023 21:16:11,21-24,Male,ENGINEERING,9,Sometimes,Sometimes,Often,No,"i would probably say the exams , it is really the only thing that i constantly stress about  as a student",7,Not at all,Often,No,7 to 9 hours,Yes,No,No,Never,No,7,Everything is going well,Yes,no ,Good,No,No,none,Normal,Good way,Yes,No,No,3,Yes,if i am doing good academically i feel good and kinda pleased and if not i feel continuously worried especially in my university  ,,
18/11/2023 22:00:26,21-24,Female,Engineering,8,Often,Sometimes,Rarely,No,,6,Once a month,Sometimes,Yes,10 to 12 hours,No,No,No,Never,Yes,5,Single,Yes,,Good,Yes,No,donations ,Good,Good way,Unsure,Yes,No,3,Yes,,,
18/11/2023 22:09:01,21-24,Male,Engineering,8,Sometimes,Often,Never,No,Insecurities,9,Between once and 3 times per week,Always,No,7 to 9 hours,No,Yes,No,Occasionally,No,7,Everything is going well,Yes,No,Good,No,Yes,I participate in clubs within my university,Normal,Good way,Yes,Yes,No,3,No,,,
18/11/2023 22:11:17,30 and above,Female,Finance,8,Sometimes,Sometimes,Sometimes,Yes,,7,Once a month,Occasionally,Yes,4 to 6 hours,Yes,Yes,Yes,Never,Yes,7,Everything is going well,Yes,,Good,Yes,Yes,to fight against violence,Normal,Good way,Yes,Yes,Yes,3,Yes,,,
18/11/2023 22:16:38,21-24,Male,Engineering ,9,Rarely,Rarely,Sometimes,No,,8,Between once and 3 times per week,Sometimes,No,7 to 9 hours,No,Yes,No,Never,No,8,There are some issues,Yes,,Very good,No,Yes,Sports and school clubs,Very good,Very Good way,Yes,No,No,5,No,,,
18/11/2023 22:33:13,21-24,Female,Finance /BA,7,Always,Always,Always,No,"Exams, GPA ",7,Not at all,Sometimes,No,7 to 9 hours,Yes,No,Yes,Never,Yes,7,There are some issues,No,,Very good,Yes,Yes,Not for this year,Very good,Good way,Yes,No,No,4,Yes,,,
18/11/2023 22:38:25,18-20,Female,Licence,6,Often,Sometimes,Rarely,Yes,,5,Once a month,Sometimes,No,7 to 9 hours,No,No,No,Never,Yes,10,There are some issues,Yes,,Good,No,No,Any,Normal,Normal,Yes,No,No,3,No,,,
18/11/2023 23:48:50,30 and above,Female,Art student ,6,Sometimes,Often,Sometimes,No,,7,Between once and 3 times per week,Never,No,4 to 6 hours,Yes,No,Yes,Never,Yes,3,There are some issues,No,No,Very good,No,No,No,Normal,Normal,Unsure,No,No,4,Yes,,Provide a healthy and secure environment ,
19/11/2023 00:43:55,21-24,Female,Engineering ,5,Always,Always,Sometimes,No,"Several factors contribute to stress or anxiety in my life as a student. Common stressors include academic pressures, exams, tight deadlines, financial concerns, social challenges, and the pressure to meet expectations both personal and external.",8,Not at all,Never,No,4 to 6 hours,Yes,No,Yes,Often,Yes,8,There are some issues,Yes,"People commonly encounter relational difficulties, which can stem from various factors such as communication issues, misunderstandings, conflicting priorities, or changes in circumstances. Resolving these challenges often involves open communication, empathy, and a willingness to work together to find solutions. ",Normal,Yes,No,I don’t participate ,Good,Normal,No,No,No,3,No,,"Mental Health Support
Student Engagement
Work-Life Balance
Stress Management Programs
Financial Education
Physical Well-being
Flexible Learning Options
Peer Support Networks
Communication Channels
Technology Integration",No
19/11/2023 01:13:38,21-24,Female,Law,5,Sometimes,Often,Sometimes,Yes,"studies, exams, any small inconvenience ",7,Between once and 3 times per week,Often,No,7 to 9 hours,Yes,No,Yes,Always,Yes,9,Everything is going well,Yes,,Good,Yes,No,humanitarian and diplomatic clubs,Good,Bad way,No,No,No,3,Yes,everything academically related gets me anxious and stressed out since i feel like i owe it my parents to succeed and feel extremely depressed whenever i let them down,,
19/11/2023 02:41:30,21-24,Male,Civil engineering ,10,Rarely,Never,Never,No,Exams,10,Every day,Always,No,7 to 9 hours,No,Yes,No,Never,No,8,There are some issues,Yes,No,Very good,Yes,No,Gym clubs ,Good,Good way,Yes,No,No,4,No,Good ,Nothing ,Nothing 
19/11/2023 02:55:21,21-24,Female,Chemical Engineering ,8,Often,Sometimes,Rarely,No,"Workload, Time management, Bad professors",7,Between once and 3 times per week,Sometimes,Yes,7 to 9 hours,No,Yes,Yes,Never,Yes,8,Everything is going well,Yes,No,Very good,No,No,None,Normal,Good way,Yes,Yes,No,4,Yes,stress = poor performance ,NA,No
19/11/2023 09:38:17,21-24,Male,Engineering,10,Sometimes,Rarely,Rarely,No,"Projects,competions exams",10,Between once and 3 times per week,Always,No,7 to 9 hours,No,Yes,Yes,Never,No,10,There are some issues,Yes,,Good,Yes,Yes,"Uni clubs,esport team , football club ",Very good,Normal,Yes,Yes,No,4,No,,Practice sport it helps /talk with yourself try to resolve problems step by step / have some compusure ,
19/11/2023 11:09:38,21-24,Female,Law,3,Often,Often,Often,Yes,Study time and exams period,4,Not at all,Occasionally,Yes,7 to 9 hours,Yes,No,Yes,Never,Yes,6,There are some issues,Yes,,Good,Yes,No,Aiesec,Good,Normal,No,No,No,3,Yes,,,
19/11/2023 11:11:52,18-20,Male,Médecin ,9,Sometimes,Sometimes,Rarely,No,Exams,10,Every day,Often,No,4 to 6 hours,No,Yes,No,Often,No,9,Everything is going well,Yes,,Bad,No,Yes,Volunteering,Normal,Good way,Yes,No,No,5,No,,Just do whatever you want and whatever makes you feel good.,
19/11/2023 11:49:45,21-24,Male,Engineering,5,Rarely,Rarely,Rarely,No,,7,Between once and 3 times per week,Sometimes,No,7 to 9 hours,Yes,Yes,No,Never,Yes,10,Everything is going well,Yes,,Good,No,No,None,Normal,Normal,Yes,No,No,3,Yes,,,
19/11/2023 12:55:00,18-20,Female,Pre engineering,2,Always,Always,Often,Yes,Study,8,Once a month,Often,No,4 to 6 hours,No,No,Yes,Always,Yes,10,Single,Yes,,Very good,No,Yes,I dont,Very good,Normal,Unsure,Yes,No,3,Yes,,,
19/11/2023 13:14:42,18-20,Female,IT,7,Always,Always,Often,No,"Time management , responsibilities and pressure ",6,Not at all,Sometimes,Yes,4 to 6 hours,Yes,No,Yes,Occasionally,Yes,9,Everything is going well,Yes,,Good,No,No,"Leo club , aiesec and ieee",Very good,Normal,Unsure,No,No,1,No,,,
19/11/2023 14:28:16,21-24,Female,engineering,10,Rarely,Rarely,Rarely,Yes,,9,Once a month,Occasionally,No,7 to 9 hours,Yes,Yes,No,Never,No,8,Single,Yes,,Good,No,No,university club ,Normal,Good way,Yes,Yes,Yes,5,Yes,,,
19/11/2023 16:48:10,21-24,Male,Engineering,5,Often,Often,Sometimes,Yes,,5,Not at all,Sometimes,No,7 to 9 hours,Yes,No,No,Always,Yes,8,Everything is going well,Yes,,Very good,Yes,No,no one,Normal,Normal,Unsure,No,No,3,Yes,,,
19/11/2023 17:03:42,18-20,Female,enineering,6,Sometimes,Sometimes,Sometimes,Yes,"exams ,homeworks, projects",5,Not at all,Occasionally,No,7 to 9 hours,Yes,Yes,No,Occasionally,Yes,7,Everything is going well,Yes,rying to be comprehensive and to accept criticism,Very good,Yes,Yes,club ieee enit,Normal,Good way,Yes,Yes,No,4,No,,,
19/11/2023 18:44:09,21-24,Female,Engineering,7,Often,Often,Always,Yes,La difficulté des devoirs.,6,Once a month,Sometimes,No,4 to 6 hours,Yes,No,Yes,Sometimes,Yes,9,There are some issues,Yes,No,Normal,Yes,Yes,IEEE,Normal,Bad way,Unsure,Yes,No,3,Yes,,"""How about considering virtual psychotherapy sessions to explore and work through any insecurities you may be facing?""",
19/11/2023 22:56:31,25-29,Female,PhD in Biology,3,Often,Often,Often,Yes,PhD supervisor,4,Not at all,Occasionally,No,4 to 6 hours,Yes,No,Yes,Never,Yes,5,Single,Yes,"Yes, b i'm always nervous",Good,No,No,Théâtre,Normal,Normal,No,Yes,Yes,5,No,,Try to eat and sleep Well it reduces stress,
20/11/2023 09:50:24,21-24,Male,Engineering,10,Rarely,Rarely,Sometimes,No,Women,10,Between once and 3 times per week,Sometimes,No,7 to 9 hours,No,No,No,Sometimes,No,8,Everything is going well,Yes,"Yes, rejection is bad for health",Normal,Yes,Yes,Club à,Normal,Good way,Yes,Yes,No,3,No,,More time for activity,No
20/11/2023 10:18:02,21-24,Female,Engineering ,6,Sometimes,Always,Sometimes,No,,6,Once a month,Sometimes,Yes,4 to 6 hours,Yes,No,Yes,Never,Yes,8,Everything is going well,Yes,,Very good,Yes,Yes,I don’t belong to any club ,Normal,Good way,Yes,Yes,No,5,Yes,,,
20/11/2023 10:38:46,21-24,Female,Engineering,7,Sometimes,Always,Never,No,Stress due to relationship with professors and other peers,8,Not at all,Often,No,10 to 12 hours,No,No,No,Never,No,8,There are some issues,Yes,Miscommunication,Very good,No,Yes,Club,Normal,Good way,Yes,Yes,No,4,No,,,
20/11/2023 13:20:44,18-20,Female,Business,8,Often,Sometimes,Sometimes,Yes,"Studies 
Toxic environment
Drama",8,Between once and 3 times per week,Never,No,7 to 9 hours,Yes,Yes,No,Never,Yes,7,There are some issues,Yes,Yes,Good,No,Yes,Hult prize,Normal,Normal,Unsure,Yes,Yes,4,Yes,If u are depressed you are less likely to study, I don’t have I’m still learning ,No
20/11/2023 15:17:51,21-24,Female,Engineering ,4,Often,Always,Often,No,,5,Not at all,Sometimes,Yes,7 to 9 hours,Yes,No,Yes,Always,Yes,7,Continuous conflicts,Yes,,Good,Yes,No,Info clubs,Normal,Normal,Yes,Yes,No,4,No,,,
20/11/2023 16:23:59,18-20,Female,Engineering ,2,Often,Often,Often,No,"Concours lprepa. 
Lprepa bsifa aama. 
Dima fama chkoun khir menek, dima makch khalet, dima mkadsin aalik drous, dima makch fehem, ma aandek chay fi hyetek bekhlef lkraya, ma aandekch wakt lhatta chay ekher khlef lkraya.
Dima hases bel fachal khatrek makch lversion elli theb tkounha",3,Not at all,Occasionally,No,7 to 9 hours,Yes,No,Yes,Never,Yes,7,Everything is going well,Yes,"I got dumped xD. We became so awkward, we're no longer friends and as close as we were. It breaks my heart",Good,Yes,Yes,I'm taking part in enactus club in my prep. institute ,Very good,Normal,No,Yes,No,1,Yes,"Puisque dima nachhak ma nalhak, dima manich fehma w dima manich khalta. Donc mdaprma, donc nhess elli zeyed bech nabka nejri bel feragh. 
Walah hatta ki nhadher ldevoir, mbaad nalka note ki wejhi. 
Takra walla matakrach bech tjib khayeb. Aandi concours ekher laam zah. Manhebech njib rang khayeb trassili textile walla drachmen ham fi gabes walla fi mednine. Nheb naamel info zah. Walah nhess fi rouhi mch bech nakhlet. Yeser siiba lkraya. W baaaaarcha ka quantité. Mazelna fi novembre w déjà overwhelmed ","Awel w aham haja: profet yaarfou yfasrou, ybastou l'information. Ahna deja nakraw barcha. Donc yelzem aal akal nefhmou fech nakraw. Mch 8h fel fac w nzidou nrawhou nkarriw rwehna. 

Yelzem azyed clubs. Azyed activites mtaa jaw. Lyoum hattou mezwed fel fac walah nes lkol habtet tachtah xD. Ennes teeba. Belhak stress yhezz fina w yonfedh. Wehed kad ma yakra dima mch khalet","Rahou fel âge des etudiants, talkana deja depressed mel denya. Khater hassin rwehna kberna w yelzem nabdew lkina hal lhyetna. Or ahna ltaw mazelna nekhdhou fel masrouf men aand parents mteena. 
Akalli kbar ama zeda sghar. Nhebou nalkaw hal lhyetna w nkounou aabed independants. Aana barcha hajet nhebou naamlohom. W nhebou naamlou jaw ama yelzem nakraw. Fehemni? Yeser depressing lhkeya. Responsabilité kbira aalekher habtet aalina baad lbac. Wehed dhaya3 fel denya. W zid lprepa belhak.. ki tokhrej menha hay deja behi"
20/11/2023 16:30:10,18-20,Male,engineering,7,Sometimes,Sometimes,Often,No,"Prof l physique , the obsession of getting rich and escaping the matrix ",7,Between once and 3 times per week,Occasionally,No,4 to 6 hours,Yes,No,Yes,Never,Yes,6,Everything is going well,No,no,Normal,No,No,none because there are none available for us as IPEIT students,Normal,Normal,Unsure,No,No,3,Yes,If i m not ok i don t perform well,Offer social activities and give more free time to practice those ,not really
20/11/2023 16:55:02,21-24,Female,Engineering,7,Rarely,Rarely,Often,Yes,Lack of time to do what you really want to do,9,Not at all,Sometimes,No,7 to 9 hours,No,No,Yes,Often,Yes,6,There are some issues,No,,Normal,No,No,None,Normal,Good way,Unsure,Yes,No,4,Yes,,People should be encouraged to talk to therapists even if they don’t think they have an issue,
20/11/2023 18:39:37,18-20,Female,Prep engineering ,8,Sometimes,Sometimes,Sometimes,No,Tests and exams that usually ask about things that either we didn't cover in class or incomprehensible and are always too long and impossible to finish in the allocated time.,3,Not at all,Always,Yes,7 to 9 hours,No,No,No,Never,Yes,5,There are some issues,Yes,I lost my best friend who i trusted a lot and she was my first ever best friend and closest friend,Normal,Yes,No,I participated in a club before but not anymore,Normal,Normal,Unsure,Yes,No,4,No,,"Set rules for the professors especially to how they make exams and how they behave in class and making entertaining activities and establishing clubs to integrate students into social university life.
Also reducing study hours per day ( i study 7 hours per day in average in my uni)",I am not okay and all of us are not okay at least in my university and most of us either drop oit or go crazy
20/11/2023 19:15:56,21-24,Female,Engineering,6,Often,Sometimes,Sometimes,No,Exams ,5,Not at all,Occasionally,Yes,7 to 9 hours,Yes,No,Yes,Never,Yes,7,Everything is going well,Yes,,Good,No,Yes,A lot auch as IEEE,Normal,Normal,Yes,No,No,3,Yes,,,
20/11/2023 20:36:56,21-24,Female,Engineering ,6,Sometimes,Sometimes,Rarely,No,,7,Not at all,Occasionally,Yes,7 to 9 hours,Yes,No,Yes,Never,Yes,7,Single,Yes,,Very good,No,No,I'm an ieee member ,Normal,Very Good way,Yes,Yes,No,3,No,,,
21/11/2023 16:41:48,21-24,Female,Engineering,8,Often,Often,Sometimes,No,,7,Once a month,Occasionally,No,7 to 9 hours,Yes,Yes,Yes,Never,Yes,4,Single,Yes,,Very good,Yes,Yes,club of formation,Good,Normal,Yes,No,No,4,No,,,
21/11/2023 16:48:51,18-20,Female,Engineering,7,Rarely,Rarely,Never,No,,8,Once a month,Often,No,7 to 9 hours,No,No,No,Never,No,8,Everything is going well,Yes,,Very good,No,No,Mechanical,Good,Good way,Unsure,Yes,No,3,No,,,
21/11/2023 16:50:39,21-24,Male,Engineering ,7,Sometimes,Rarely,Rarely,No," exams, time management, and social pressures. Seeking a balance between studies and personal well-being",6,Not at all,Occasionally,No,7 to 9 hours,No,No,No,Never,No,7,Everything is going well,Yes,No,Good,Yes,Yes,"scouting, Red Cross , engineering clubs ",Normal,Normal,Yes,Yes,No,3,No,,workshops to help students manage stress and emotional well-being..Encourage participation in social and extracurricular activities ,No
21/11/2023 16:57:21,21-24,Female,Medical,6,Always,Often,Sometimes,Yes,Exams,6,Not at all,Often,Yes,4 to 6 hours,Yes,No,Yes,Never,Yes,8,Single,Yes,,Very good,Yes,No,None,Normal,Good way,Yes,Yes,No,4,Yes,,,
21/11/2023 17:04:20,21-24,Female,Medical,7,Often,Sometimes,Often,No,courses ,5,Not at all,Often,Yes,7 to 9 hours,No,No,Yes,Never,Yes,6,There are some issues,Yes,,Good,Yes,No,i don t have any activites ,Normal,Normal,Yes,No,No,3,Yes,,,
21/11/2023 18:01:45,21-24,Female,Medical ,3,Often,Often,Often,No,Examen,5,Once a month,Sometimes,Yes,7 to 9 hours,No,Yes,Yes,Never,Yes,6,Single,No,,Normal,No,No,Rien,Normal,Good way,Unsure,No,No,1,No,,,
21/11/2023 18:45:21,21-24,Male,Engineering ,8,Rarely,Rarely,Rarely,No,"The only time I stress in my life as a student is when Im so close of delivering a great work but I’m in a rush .
But i don’t stress if i didn’t do my work or when I have an exam etc.",8,Every day,Often,Yes,4 to 6 hours,No,No,Yes,Always,No,8,Everything is going well,Yes,Not recently but I had some problems before such as people being jealous of me or when people betray me while we are very close and we have no problems ,Good,Yes,Yes,An NGO « AIESEC »,Very good,Very Good way,Yes,Yes,No,4,Yes,Obviously when you succeed in your academic career you will get satisfied ,"Some people don’t have the courage to go for a social experience such as joining clubs .
I recommend pushing them and keep trying to let them take the first step with is joining a club or an organisation, that way they will get in touch with a lot of people and improve themselves and of course their well-being ","Take it easy guys , live , enjoy ,make mistakes and learn from them .
In all cases you will make mistakes so don’t stress out . Try to corrige the mistakes and learn from them ."
21/11/2023 20:02:28,21-24,Female,Engineering,4,Sometimes,Sometimes,Often,No,Fear of failure and the amount of subjects we study ,8,Not at all,Occasionally,No,7 to 9 hours,Yes,No,No,Never,Yes,4,There are some issues,Yes,I just feel like a failure ,Normal,No,No,College clubs ,Normal,Bad way,Unsure,Yes,No,2,Yes,When I feel down I don't study and then I get bad grades,When I feel down I don't study and then I get bad grades,No
21/11/2023 23:00:00,18-20,Male,Engineering,6,Always,Often,Often,No,"Money, studies, exams, life",8,Between once and 3 times per week,Often,No,7 to 9 hours,Yes,No,Yes,Often,No,8,Single,Yes,,Very good,No,Yes,None,Good,Good way,Unsure,Yes,No,3,No,,,
21/11/2023 23:54:51,21-24,Male,Engineering,8,Rarely,Sometimes,Never,No,"worrying about how many absences i have, since too much and i'll be expelled",10,Every day,Often,No,4 to 6 hours,No,No,No,Occasionally,No,3,There are some issues,No,i don''t have many relations in the first place,Normal,No,No,clubs focused on the technical aspects of things,Good,Good way,Yes,No,No,3,No,,"be more lenient on absences or make it so we start at 10am not 8am. i actually beg you, this is sapping all the fun from studying ","sometimes i think to myself ""if a truck comes barreling down the road towards me i won't move away"" (this happens between 8-10am)"
22/11/2023 02:01:46,18-20,Female,Communication and marketing,7,Sometimes,Sometimes,Rarely,Yes,Exams,8,Once a month,Occasionally,No,4 to 6 hours,Yes,Yes,Yes,Occasionally,Yes,6,Everything is going well,Yes,Yes,Very good,No,No,Association ,Good,Good way,Yes,Yes,Yes,3,Yes,Anxiety let me be less concentrated ,I don’t know,No
22/11/2023 08:23:33,18-20,Male,pre-engineering ,4,Often,Often,Sometimes,Yes,"having ADHD, the tremendous amount of information expected to retain, the pressure of a national exam",8,Between once and 3 times per week,Sometimes,No,7 to 9 hours,Yes,Yes,No,Never,Yes,8,There are some issues,Yes,"in my immediate circle no, other than that i wouldn't care",Good,Yes,No,"i used to be active in clubs, but it's on standby for this year. Best i can do is hanging out with friends",Good,Good way,Yes,No,No,4,Yes,"as a procrastinator, i usually get everything done as late as possible. In the end i get good grades, but as a trade off i get burnt out, longest burnout i had was 3 weeks last year in the final exams","i recommend that students know what they're doing when signing up for pre engineering, it's hard and stressful, so it's better if you enjoy what you're studying, at least you can have some fun in the midst of the torment",
22/11/2023 12:58:23,21-24,Male,Engineering ,4,Often,Often,Rarely,No,Studies and exams,5,Once a month,Sometimes,No,7 to 9 hours,Yes,No,Yes,Always,Yes,4,There are some issues,Yes,,Good,No,No,Mainly socializing ,Normal,Bad way,Unsure,Yes,No,3,Yes,"Exams lead to stress, stress leads to bad exams most of the cases","less study hours, less exams, more happy people ",
23/11/2023 10:40:36,21-24,Female,engineering ,6,Sometimes,Sometimes,Rarely,No,busy study schedules ,6,Once a month,Sometimes,No,7 to 9 hours,No,Yes,No,Never,Yes,7,Everything is going well,Yes,,Very good,Yes,Yes,mechanical engineering club,Normal,Normal,Yes,Yes,No,3,No,,,
23/11/2023 12:30:41,18-20,Female,Engineering ,7,Sometimes,Rarely,Sometimes,No,Idk,8,Once a month,Occasionally,No,7 to 9 hours,No,No,Yes,Never,Yes,9,There are some issues,Yes,Not really,Normal,No,No,None,Good,Good way,Unsure,No,No,3,Yes,I can’t talk abt that ,Don’t get distracted by anything other than the hold you’ve set,Not really
25/11/2023 20:53:31,21-24,Female,Engineering ,6,Rarely,Sometimes,Often,Yes,Reaching the point of burn out which is often,6,Not at all,Often,No,7 to 9 hours,Yes,No,Yes,Never,Yes,8,Everything is going well,Yes,No ,Good,Yes,Yes,Robotics club,Very good,Normal,Yes,No,No,2,Yes,It affects my academic performance,Psy presents fy chaque ecole plz,It was a long healing journey nd now im happy to survive it 
25/11/2023 23:21:10,21-24,Male,Engineering,9,Often,Often,Sometimes,No,,6,Once a month,Often,No,4 to 6 hours,Yes,No,No,Often,Yes,8,Everything is going well,Yes,,Very good,Yes,Yes,Clubs,Normal,Normal,Yes,Yes,No,5,No,,,
25/11/2023 23:53:18,25-29,Male,Engineering ,7,Sometimes,Sometimes,Sometimes,Yes,,7,Not at all,Sometimes,No,7 to 9 hours,Yes,Yes,Yes,Sometimes,No,8,Everything is going well,Yes,No,Very good,No,No,Many clubs and associations ,Good,Normal,Unsure,No,No,3,Yes,,,